2022-05-16 11:05:485 INFO  ProductPage :77 - Entering qty :[[ChromeDriver: chrome on WINDOWS (7ca3b553c90ed65a5be07b21f29544eb)] -> xpath: //input[@id='quantity_wanted']]
2022-05-16 11:05:549 INFO  ProductPage :81 - Select L
2022-05-16 11:05:593 INFO  ProductPage :65 - Select [[ChromeDriver: chrome on WINDOWS (7ca3b553c90ed65a5be07b21f29544eb)] -> xpath: //a[@id='color_13']]
2022-05-16 11:05:630 INFO  ProductPage :85 - Click on[[ChromeDriver: chrome on WINDOWS (7ca3b553c90ed65a5be07b21f29544eb)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-16 11:05:650 INFO  ProductPage :89 - Verify[[ChromeDriver: chrome on WINDOWS (7ca3b553c90ed65a5be07b21f29544eb)] -> xpath: //div[@id='layer_cart']//h2[contains(normalize-space(),'Product successfully added to your shopping cart')]]
2022-05-16 11:05:227 INFO  ProductPage :93 - Click on[[ChromeDriver: chrome on WINDOWS (7ca3b553c90ed65a5be07b21f29544eb)] -> xpath: //span[@title='Close window']]
2022-05-16 11:05:855 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:429 INFO  ProductPage :52 - SelectProxy element for: DefaultElementLocator 'By.xpath: //a[normalize-space()='Printed Chiffon Dress']'
2022-05-16 11:05:470 INFO  ProductPage :77 - Entering qty :[[ChromeDriver: chrome on WINDOWS (24b4a28593445ff18ed7a54b607af360)] -> xpath: //input[@id='quantity_wanted']]
2022-05-16 11:05:503 INFO  ProductPage :81 - Select S
2022-05-16 11:05:556 INFO  ProductPage :68 - Select [[ChromeDriver: chrome on WINDOWS (24b4a28593445ff18ed7a54b607af360)] -> xpath: //a[@id='color_15']]
2022-05-16 11:05:595 INFO  ProductPage :85 - Click on[[ChromeDriver: chrome on WINDOWS (24b4a28593445ff18ed7a54b607af360)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-16 11:05:616 INFO  ProductPage :89 - Verify[[ChromeDriver: chrome on WINDOWS (24b4a28593445ff18ed7a54b607af360)] -> xpath: //div[@id='layer_cart']//h2[contains(normalize-space(),'Product successfully added to your shopping cart')]]
2022-05-16 11:05:634 INFO  ProductPage :93 - Click on[[ChromeDriver: chrome on WINDOWS (24b4a28593445ff18ed7a54b607af360)] -> xpath: //span[@title='Close window']]
2022-05-16 11:05:323 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:439 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:202 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:391 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:422 INFO  HomePage :50 - Click on Login link[[ChromeDriver: chrome on WINDOWS (710479ae2621abe68a0474bfb889d06d)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-16 11:05:466 INFO  SignInPage :42 - Entering email :[[ChromeDriver: chrome on WINDOWS (710479ae2621abe68a0474bfb889d06d)] -> id: email]
2022-05-16 11:05:515 INFO  SignInPage :46 - Entering password :[[ChromeDriver: chrome on WINDOWS (710479ae2621abe68a0474bfb889d06d)] -> id: passwd]
2022-05-16 11:05:06 INFO  SignInPage :51 - click on Sign in button[[ChromeDriver: chrome on WINDOWS (710479ae2621abe68a0474bfb889d06d)] -> id: SubmitLogin]
2022-05-16 11:05:29 INFO  SignInPage :79 - verify text Authentication Error[[ChromeDriver: chrome on WINDOWS (710479ae2621abe68a0474bfb889d06d)] -> xpath: //div[@class='alert alert-danger']//li]
2022-05-16 11:05:808 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:448 INFO  HomePage :50 - Click on Login link[[ChromeDriver: chrome on WINDOWS (34bd6950e3520d778f9eb348de879450)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-16 11:05:503 INFO  SignInPage :42 - Entering email :[[ChromeDriver: chrome on WINDOWS (34bd6950e3520d778f9eb348de879450)] -> id: email]
2022-05-16 11:05:583 INFO  SignInPage :46 - Entering password :[[ChromeDriver: chrome on WINDOWS (34bd6950e3520d778f9eb348de879450)] -> id: passwd]
2022-05-16 11:05:317 INFO  SignInPage :51 - click on Sign in button[[ChromeDriver: chrome on WINDOWS (34bd6950e3520d778f9eb348de879450)] -> id: SubmitLogin]
2022-05-16 11:05:343 INFO  SignInPage :79 - verify text Authentication Error[[ChromeDriver: chrome on WINDOWS (34bd6950e3520d778f9eb348de879450)] -> xpath: //div[@class='alert alert-danger']//li]
2022-05-16 11:05:103 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:489 INFO  HomePage :50 - Click on Login link[[ChromeDriver: chrome on WINDOWS (9af0ca680d60924f7c208ff22d1ed743)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-16 11:05:535 INFO  SignInPage :42 - Entering email :[[ChromeDriver: chrome on WINDOWS (9af0ca680d60924f7c208ff22d1ed743)] -> id: email]
2022-05-16 11:05:582 INFO  SignInPage :46 - Entering password :[[ChromeDriver: chrome on WINDOWS (9af0ca680d60924f7c208ff22d1ed743)] -> id: passwd]
2022-05-16 11:05:652 INFO  SignInPage :51 - click on Sign in button[[ChromeDriver: chrome on WINDOWS (9af0ca680d60924f7c208ff22d1ed743)] -> id: SubmitLogin]
2022-05-16 11:05:681 INFO  SignInPage :79 - verify text Authentication Error[[ChromeDriver: chrome on WINDOWS (9af0ca680d60924f7c208ff22d1ed743)] -> xpath: //div[@class='alert alert-danger']//li]
2022-05-16 11:05:446 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:688 INFO  HomePage :50 - Click on Login link[[ChromeDriver: chrome on WINDOWS (932319126da20b8e3919c756905a2ae7)] -> xpath: //a[@title='Log in to your customer account']]
2022-05-16 11:05:735 INFO  SignInPage :42 - Entering email :[[ChromeDriver: chrome on WINDOWS (932319126da20b8e3919c756905a2ae7)] -> id: email]
2022-05-16 11:05:787 INFO  SignInPage :46 - Entering password :[[ChromeDriver: chrome on WINDOWS (932319126da20b8e3919c756905a2ae7)] -> id: passwd]
2022-05-16 11:05:766 INFO  SignInPage :51 - click on Sign in button[[ChromeDriver: chrome on WINDOWS (932319126da20b8e3919c756905a2ae7)] -> id: SubmitLogin]
2022-05-16 11:05:790 INFO  SignInPage :79 - verify text Authentication Error[[ChromeDriver: chrome on WINDOWS (932319126da20b8e3919c756905a2ae7)] -> xpath: //div[@class='alert alert-danger']//li]
2022-05-16 11:05:653 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:163 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:237 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-16 11:05:618 INFO  HomePage :33 - Click on Women link[[ChromeDriver: chrome on WINDOWS (dc0eb917e9b6adb952dc6a4f5cfd2cae)] -> xpath: //a[@title='Women']]
